trial_num,data_segment,violation,shape,obj_width,obj_height,contact_point
1,train,FALSE,Cone,1,0.9,0.2
2,train,FALSE,Sphere,1.3,1.1,0.3
3,train,FALSE,Cube,0.8,0.9,0.4
4,train,FALSE,Cube,1.5,0.6,0.5
5,train,FALSE,Cube,0.7,1.3,0.7
6,train,FALSE,Cube,0.8,0.8,0.4
7,train,FALSE,Torus,1,1.1,0.8
8,train,FALSE,Cone,1,1.4,0.7
9,train,FALSE,Cylinder,1.6,0.7,0.3
10,train,FALSE,Cube,1.4,0.8,0.6
11,train,FALSE,Cone,1.5,1.3,0.3
12,train,FALSE,Torus,0.6,0.8,0.2
13,train,FALSE,Cylinder,1.4,1.2,0.2
14,train,FALSE,Cube,1.4,0.6,0.3
15,train,FALSE,Cube,1,1.3,0.5
16,train,FALSE,Cube,1.6,1.1,0.2
17,train,FALSE,Cone,1.8,0.8,0.5
18,train,FALSE,Cone,1.2,0.8,0.5
19,train,FALSE,Side_Cylinder,1.4,1.1,0.7
20,train,FALSE,Side_Cylinder,1,0.8,0.7
21,train,FALSE,Cube,1.5,0.9,0.4
22,train,FALSE,Torus,0.9,1,0.2
23,train,FALSE,Cylinder,1.8,0.9,0.7
24,train,FALSE,Cone,1.8,1.2,0.7
25,train,FALSE,Cube,1.5,0.6,0.4
26,train,FALSE,Side_Cylinder,1.3,1.3,0.3
27,train,FALSE,Sphere,0.4,1.3,0.6
28,train,FALSE,Side_Cylinder,1.3,0.9,0.6
29,train,FALSE,Cylinder,0.5,1.3,0.6
30,train,FALSE,Cylinder,1.8,1.2,0.6
31,train,FALSE,Side_Cylinder,1.3,1.1,0.6
32,train,FALSE,Cube,1,1.3,0.6
33,train,FALSE,Cone,0.4,0.9,0.7
34,train,FALSE,Cylinder,0.6,1.4,0.2
35,train,FALSE,Side_Cylinder,1.4,1.3,0.5
36,train,FALSE,Cube,1.4,1.3,0.6
37,train,FALSE,Side_Cylinder,0.9,1,0.7
38,train,FALSE,Torus,1.5,0.9,0.3
39,train,FALSE,Cylinder,0.9,0.8,0.8
40,train,FALSE,Side_Cylinder,1,0.9,0.6
41,train,FALSE,Cone,1.3,0.9,0.5
42,train,FALSE,Sphere,0.9,1.2,0.3
43,train,FALSE,Cube,1,1.3,0.2
44,train,FALSE,Sphere,1.3,0.6,0.3
45,train,FALSE,Cone,1.7,0.9,0.6
46,train,FALSE,Torus,1.8,1,0.8
47,train,FALSE,Cylinder,1.2,1.3,0.2
48,train,FALSE,Sphere,1.5,0.7,0.5
49,train,FALSE,Cube,1.8,0.6,0.2
50,train,FALSE,Cylinder,0.8,1.2,0.6
51,train,FALSE,Sphere,1,1,0.7
52,train,FALSE,Cube,0.9,1.1,0.7
53,train,FALSE,Cone,1,1.1,0.2
54,train,FALSE,Cube,1.7,0.7,0.3
55,train,FALSE,Cylinder,1,0.9,0.8
56,train,FALSE,Cone,1.7,1.1,0.7
57,train,FALSE,Cube,1,1.4,0.3
58,train,FALSE,Cube,1,1,0.3
59,train,FALSE,Cylinder,1.7,0.7,0.6
60,train,FALSE,Torus,1.4,0.8,0.7
61,train,FALSE,Side_Cylinder,1.8,0.7,0.8
62,train,FALSE,Cone,1.8,1.3,0.8
63,train,FALSE,Sphere,1,1.2,0.5
64,train,FALSE,Side_Cylinder,1.7,1.4,0.8
65,train,FALSE,Sphere,0.6,0.7,0.4
66,train,FALSE,Sphere,1.8,1.3,0.8
67,train,FALSE,Cylinder,0.7,1.2,0.5
68,train,FALSE,Cylinder,1.3,1.1,0.6
69,train,FALSE,Sphere,1.2,1.1,0.6
70,train,FALSE,Sphere,0.5,1.2,0.2
71,train,FALSE,Cylinder,0.5,0.8,0.4
72,train,FALSE,Torus,1.4,1.4,0.7
73,train,FALSE,Cone,1.3,1.3,0.3
74,train,FALSE,Side_Cylinder,1.7,0.7,0.8
75,train,FALSE,Cube,1.8,1.4,0.7
76,train,FALSE,Sphere,1,1.1,0.5
77,train,FALSE,Cone,0.8,0.9,0.5
78,train,FALSE,Cube,1.6,0.7,0.7
79,train,FALSE,Side_Cylinder,1.5,0.6,0.7
80,train,FALSE,Cube,0.7,1.1,0.6
81,train,FALSE,Cube,0.5,1.1,0.8
82,train,FALSE,Cube,1.7,1,0.8
83,train,FALSE,Cylinder,1.2,0.6,0.2
84,train,FALSE,Cylinder,0.7,0.7,0.7
85,train,FALSE,Side_Cylinder,1.2,1.1,0.2
86,train,FALSE,Cube,1.5,1.2,0.5
87,train,FALSE,Sphere,1,1.4,0.6
88,train,FALSE,Cube,1,0.6,0.3
89,train,FALSE,Cone,1.4,0.6,0.5
90,train,FALSE,Side_Cylinder,0.7,1.2,0.2
91,train,FALSE,Torus,1.5,0.6,0.2
92,train,FALSE,Cube,0.4,1,0.3
93,train,FALSE,Cube,1.4,1.4,0.7
94,train,FALSE,Torus,1.5,0.8,0.2
95,train,FALSE,Torus,1.2,0.9,0.2
96,train,FALSE,Torus,1.3,1.1,0.4
97,train,FALSE,Torus,1.3,0.8,0.7
98,train,FALSE,Torus,0.5,0.9,0.6
99,train,FALSE,Cone,1.7,1.2,0.7
100,train,FALSE,Sphere,1,1,0.4
101,train,FALSE,Cube,0.4,0.9,0.2
102,train,FALSE,Cylinder,0.9,1.4,0.5
103,train,FALSE,Cube,0.8,1,0.6
104,train,FALSE,Sphere,0.9,1.1,0.8
105,train,FALSE,Torus,1,0.8,0.4
106,train,FALSE,Side_Cylinder,1.2,1.2,0.5
107,train,FALSE,Cube,1.2,1,0.6
108,train,FALSE,Torus,1,1.1,0.5
109,train,FALSE,Cylinder,0.8,0.7,0.7
110,train,FALSE,Cylinder,0.8,0.6,0.5
111,train,FALSE,Cube,1.7,0.8,0.4
112,train,FALSE,Sphere,1.6,1.4,0.8
113,train,FALSE,Torus,0.6,0.8,0.4
114,train,FALSE,Side_Cylinder,0.4,1.2,0.7
115,train,FALSE,Torus,1.7,1.2,0.2
116,train,FALSE,Cone,1.5,0.8,0.8
117,train,FALSE,Cone,1,0.7,0.6
118,train,FALSE,Torus,0.8,0.9,0.5
119,train,FALSE,Side_Cylinder,1.6,1,0.8
120,train,FALSE,Torus,0.7,1.2,0.3
121,train,FALSE,Side_Cylinder,1.5,1.1,0.8
122,train,FALSE,Cube,0.5,0.6,0.3
123,train,FALSE,Sphere,1,0.6,0.3
124,train,FALSE,Sphere,1.7,0.7,0.7
125,train,FALSE,Side_Cylinder,1.7,1,0.7
126,train,FALSE,Torus,0.9,0.6,0.3
127,train,FALSE,Cone,1.5,0.7,0.3
128,train,FALSE,Cube,1.3,0.6,0.5
129,train,FALSE,Sphere,0.8,0.8,0.5
130,train,FALSE,Sphere,1,1.2,0.2
131,train,FALSE,Side_Cylinder,1,1,0.8
132,train,FALSE,Torus,1,0.8,0.6
133,train,FALSE,Cylinder,1.8,0.6,0.3
134,train,FALSE,Side_Cylinder,0.6,1.4,0.8
135,train,FALSE,Cube,1.5,0.8,0.2
136,train,FALSE,Cube,0.7,1,0.2
137,train,FALSE,Cylinder,0.6,1.3,0.5
138,train,FALSE,Sphere,1.4,0.9,0.7
139,train,FALSE,Cone,1,0.9,0.3
140,train,FALSE,Cube,1.6,1,0.3
141,train,FALSE,Cylinder,1.3,0.7,0.4
142,train,FALSE,Side_Cylinder,1.5,0.6,0.2
143,train,FALSE,Cone,1,0.9,0.8
144,train,FALSE,Torus,0.4,1,0.5
145,train,FALSE,Cone,0.9,0.7,0.6
146,train,FALSE,Cube,1.4,1.3,0.5
147,train,FALSE,Cube,1.6,1.3,0.2
148,train,FALSE,Side_Cylinder,1.5,0.7,0.2
149,train,FALSE,Cone,1,1.3,0.7
