trial_num,data_segment,violation,shape,obj_width,obj_height,occluder_height
1,train,False,Cone,0.8,1.3,0.4
2,train,False,Side_Cylinder,1.1,0.6,0.4
3,train,False,Cube,1.2,1.0,0.7
4,train,False,Cone,1.3,0.8,0.3
5,train,False,Torus,0.4,0.9,0.1
6,train,False,Torus,1.3,1.3,0.3
7,train,False,Inverted_Cone,0.5,1.6,0.7
8,train,False,Cube,0.6,1.3,0.8
9,train,False,Cylinder,1.0,1.4,0.9
10,train,False,Cube,0.8,0.4,0.1
11,train,False,Torus,1.3,0.4,0.9
12,train,False,Cone,0.8,0.7,0.9
13,train,False,Sphere,0.6,0.9,0.6
14,train,False,Cylinder,1.0,1.0,0.1
15,train,False,Cube,0.8,0.8,0.1
16,train,False,Inverted_Cone,1.1,0.7,0.4
17,train,False,Inverted_Cone,1.3,1.3,0.8
18,train,False,Torus,0.6,0.8,0.9
19,train,False,Side_Cylinder,0.7,1.3,0.3
20,train,False,Torus,1.1,0.5,0.5
21,train,False,Cylinder,1.2,0.5,0.5
22,train,False,Cylinder,1.0,1.6,0.6
23,train,False,Sphere,0.7,0.7,0.5
24,train,False,Torus,1.3,0.9,0.4
25,train,False,Side_Cylinder,0.5,1.4,0.4
26,train,False,Inverted_Cone,0.5,0.7,0.4
27,train,False,Inverted_Cone,0.7,1.4,0.4
28,train,False,Side_Cylinder,0.6,1.4,0.4
29,train,False,Sphere,1.3,0.9,0.7
30,train,False,Torus,1.6,1.3,0.2
31,train,False,Inverted_Cone,0.7,1.2,0.3
32,train,False,Cone,1.0,0.9,0.9
33,train,False,Cube,1.2,0.8,0.8
34,train,False,Cube,1.4,1.6,0.5
35,train,False,Side_Cylinder,1.0,1.1,0.7
36,train,False,Cylinder,0.8,0.8,0.9
37,train,False,Cylinder,0.5,1.1,0.3
38,train,False,Torus,1.0,1.2,0.6
39,train,False,Sphere,1.4,0.8,0.3
40,train,False,Cube,0.7,1.3,0.5
41,train,False,Cone,1.6,0.8,0.5
42,train,False,Cone,1.0,0.5,0.7
43,train,False,Torus,0.9,0.4,0.4
44,train,False,Cylinder,0.4,1.0,0.5
45,train,False,Torus,0.9,0.5,0.8
46,train,False,Torus,1.0,1.4,0.6
47,train,False,Sphere,0.9,1.3,0.6
48,train,False,Torus,1.2,1.4,0.7
49,train,False,Cube,1.6,0.6,0.9
50,train,False,Inverted_Cone,1.3,0.9,0.8
51,train,False,Side_Cylinder,1.0,0.5,0.5
52,train,False,Cylinder,1.1,1.0,0.9
53,train,False,Cube,1.6,0.9,0.2
54,train,False,Cube,0.4,0.5,0.6
55,train,False,Cone,0.5,1.0,0.4
56,train,False,Side_Cylinder,0.7,1.1,0.8
57,train,False,Cube,1.2,1.3,0.1
58,train,False,Cone,0.9,0.5,0.5
59,train,False,Inverted_Cone,0.4,1.0,0.1
60,train,False,Inverted_Cone,1.1,0.5,0.8
61,train,False,Side_Cylinder,0.8,0.7,0.6
62,train,False,Cube,1.0,1.0,0.2
63,train,False,Torus,0.9,0.4,0.3
64,train,False,Cone,1.1,0.9,0.8
65,train,False,Cone,0.9,1.1,0.3
66,train,False,Torus,1.0,1.0,0.5
67,train,False,Sphere,0.5,1.3,0.3
68,train,False,Side_Cylinder,1.0,0.8,0.1
69,train,False,Inverted_Cone,1.0,0.5,0.2
70,train,False,Cone,0.7,0.4,0.3
71,train,False,Side_Cylinder,0.4,0.9,0.4
72,train,False,Cube,1.4,0.5,0.5
73,train,False,Torus,0.7,1.1,0.6
74,train,False,Sphere,0.4,1.4,0.3
75,train,False,Inverted_Cone,1.3,1.0,0.4
76,train,False,Side_Cylinder,0.6,0.7,0.4
77,train,False,Sphere,0.4,0.5,0.2
78,train,False,Sphere,0.5,1.1,0.7
79,train,False,Sphere,1.3,1.1,0.5
80,train,False,Side_Cylinder,0.8,0.5,0.5
81,train,False,Cube,0.6,1.4,0.8
82,train,False,Side_Cylinder,1.4,1.4,0.2
83,train,False,Sphere,0.6,1.0,0.8
84,train,False,Side_Cylinder,1.2,0.7,0.9
85,train,False,Sphere,0.6,1.2,0.8
86,train,False,Side_Cylinder,1.0,0.5,0.7
87,train,False,Inverted_Cone,1.4,0.8,0.7
88,train,False,Cone,0.8,1.3,0.9
89,train,False,Cone,1.0,1.1,0.9
90,train,False,Cylinder,1.0,1.3,0.2
91,train,False,Side_Cylinder,0.6,0.4,0.5
92,train,False,Torus,1.6,0.5,0.2
93,train,False,Side_Cylinder,1.2,1.3,0.7
94,train,False,Cube,1.4,0.9,0.9
95,train,False,Side_Cylinder,0.8,1.6,0.9
96,train,False,Sphere,1.1,0.4,0.2
97,train,False,Torus,1.2,0.8,0.6
98,train,False,Side_Cylinder,0.4,0.6,0.7
99,train,False,Inverted_Cone,0.8,1.4,0.4
100,train,False,Cube,1.4,0.4,0.5
101,train,False,Cube,1.4,0.6,0.5
102,train,False,Torus,0.6,1.6,0.4
103,train,False,Cylinder,0.7,1.1,0.6
104,train,False,Inverted_Cone,0.6,1.0,0.3
105,train,False,Side_Cylinder,1.1,0.6,0.1
106,train,False,Inverted_Cone,0.7,1.2,0.9
107,train,False,Cube,1.1,1.0,0.1
108,train,False,Cube,1.1,1.2,0.1
109,train,False,Cube,1.3,1.4,0.5
110,train,False,Cylinder,0.5,0.7,0.5
111,train,False,Cylinder,0.4,0.7,0.5
112,train,False,Cube,0.7,1.1,0.7
113,train,False,Cylinder,1.1,1.3,0.6
114,train,False,Torus,0.7,1.1,0.1
115,train,False,Side_Cylinder,0.8,0.7,0.5
116,train,False,Inverted_Cone,0.7,0.5,0.8
117,train,False,Cone,1.6,0.9,0.2
118,train,False,Sphere,1.6,0.5,0.8
119,train,False,Side_Cylinder,1.2,0.5,0.9
120,train,False,Inverted_Cone,0.8,0.7,0.2
121,train,False,Cone,1.0,0.7,0.7
122,train,False,Torus,0.9,1.3,0.9
123,train,False,Torus,0.4,1.1,0.9
124,train,False,Inverted_Cone,1.3,1.0,0.3
125,train,False,Side_Cylinder,1.6,1.0,0.5
126,train,False,Torus,0.8,1.6,0.4
127,train,False,Torus,0.7,1.2,0.7
128,train,False,Cube,0.7,1.6,0.4
129,train,False,Torus,0.9,1.2,0.1
130,train,False,Side_Cylinder,1.4,1.6,0.5
131,train,False,Torus,0.8,0.9,0.1
132,train,False,Cone,1.6,1.0,0.5
133,train,False,Torus,1.1,0.9,0.5
134,train,False,Cube,1.4,0.4,0.2
135,train,False,Torus,1.4,0.9,0.6
136,train,False,Torus,0.5,1.6,0.7
137,train,False,Cube,0.9,0.4,0.6
138,train,False,Cylinder,1.3,1.0,0.3
139,train,False,Cone,0.8,1.3,0.3
140,train,False,Cube,0.7,1.0,0.1
141,train,False,Inverted_Cone,1.0,1.0,0.7
142,train,False,Torus,1.2,1.2,0.7
143,train,False,Cube,0.4,1.6,0.4
144,train,False,Sphere,1.6,0.5,0.3
145,train,False,Cone,1.4,1.1,0.6
146,train,False,Inverted_Cone,0.7,1.1,0.4
147,train,False,Side_Cylinder,1.0,1.2,0.3
148,train,False,Cylinder,1.1,0.8,0.6
149,train,False,Sphere,1.3,1.6,0.5
150,train,False,Cube,0.6,1.4,0.2
151,train,False,Inverted_Cone,0.9,0.9,0.7
152,train,False,Side_Cylinder,0.9,0.6,0.4
153,train,False,Sphere,1.0,0.6,0.4
154,train,False,Torus,0.5,1.4,0.2
155,train,False,Side_Cylinder,1.2,1.6,0.7
156,train,False,Cube,0.6,0.9,0.8
157,train,False,Cone,1.0,1.1,0.8
158,train,False,Sphere,0.8,1.4,0.1
159,train,False,Sphere,0.7,1.1,0.9
160,train,False,Side_Cylinder,0.7,0.9,0.4
161,train,False,Cube,0.9,1.3,0.2
162,train,False,Cube,0.5,0.7,0.9
163,train,False,Sphere,0.8,1.2,0.7
164,train,False,Cylinder,0.9,0.6,0.5
165,train,False,Cone,1.2,0.6,0.1
166,train,False,Cube,0.8,0.9,0.5
167,train,False,Cone,1.4,1.0,0.7
168,train,False,Cylinder,0.5,1.3,0.2
169,train,False,Cone,1.4,1.6,0.3
170,train,False,Sphere,0.9,1.2,0.8
171,train,False,Torus,0.6,1.2,0.7
172,train,False,Cylinder,0.8,0.7,0.2
173,train,False,Sphere,1.3,0.5,0.1
174,train,False,Cylinder,1.2,0.6,0.1
175,train,False,Cube,0.5,1.2,0.3
176,train,False,Sphere,1.0,1.2,0.8
177,train,False,Sphere,1.3,1.3,0.5
178,train,False,Torus,0.4,0.7,0.7
179,train,False,Inverted_Cone,0.7,1.4,0.7
180,train,False,Torus,1.2,1.4,0.5
181,train,False,Torus,0.9,0.7,0.3
182,train,False,Inverted_Cone,0.5,1.1,0.5
183,train,False,Inverted_Cone,0.9,0.7,0.2
184,train,False,Torus,1.6,0.6,0.6
185,train,False,Torus,1.1,0.9,0.9
186,train,False,Cone,1.1,1.1,0.6
187,train,False,Cone,0.9,0.4,0.5
188,train,False,Torus,0.4,1.6,0.4
189,train,False,Sphere,1.6,1.4,0.9
190,train,False,Side_Cylinder,0.5,1.6,0.2
191,train,False,Sphere,0.8,0.6,0.7
192,train,False,Cylinder,1.1,1.1,0.8
193,train,False,Torus,1.6,0.7,0.4
194,train,False,Torus,1.1,0.6,0.5
195,train,False,Torus,1.3,0.4,0.6
196,train,False,Cube,1.6,0.4,0.6
197,train,False,Inverted_Cone,0.6,1.0,0.9
198,train,False,Torus,1.3,0.9,0.6
199,train,False,Side_Cylinder,0.4,0.6,0.2
200,train,False,Cone,1.1,0.5,0.5
201,train,False,Cylinder,1.6,0.7,0.2
202,train,False,Cylinder,0.6,0.9,0.8
203,train,False,Cylinder,1.0,1.6,0.3
204,train,False,Sphere,0.9,0.4,0.6
205,train,False,Sphere,0.6,0.7,0.9
206,train,False,Inverted_Cone,0.4,1.6,0.4
207,train,False,Cylinder,1.4,0.6,0.6
208,train,False,Sphere,1.2,0.4,0.5
209,train,False,Cone,0.6,1.3,0.1
210,train,False,Cube,0.9,0.9,0.1
211,train,False,Sphere,0.4,1.1,0.5
212,train,False,Inverted_Cone,1.4,1.4,0.5
213,train,False,Sphere,0.4,0.5,0.8
214,train,False,Cone,0.4,1.4,0.5
215,train,False,Cone,1.2,0.9,0.4
216,train,False,Sphere,0.4,0.5,0.6
217,train,False,Inverted_Cone,0.8,1.3,0.6
218,train,False,Side_Cylinder,1.3,0.4,0.2
219,train,False,Side_Cylinder,1.3,0.7,0.1
220,train,False,Sphere,1.2,1.2,0.6
221,train,False,Torus,0.8,0.7,0.9
222,train,False,Sphere,0.5,0.4,0.2
223,train,False,Cone,0.5,0.6,0.2
224,train,False,Inverted_Cone,0.5,1.2,0.1
225,train,False,Sphere,0.8,1.2,0.6
226,train,False,Inverted_Cone,0.5,0.7,0.5
227,train,False,Torus,0.5,0.8,0.8
228,train,False,Inverted_Cone,1.2,1.4,0.5
229,train,False,Cone,1.3,1.4,0.4
230,train,False,Inverted_Cone,0.5,0.4,0.2
231,train,False,Torus,1.4,0.6,0.2
232,train,False,Cone,0.9,1.2,0.8
233,train,False,Cube,0.7,1.4,0.5
234,train,False,Cylinder,0.5,1.6,0.7
235,train,False,Sphere,0.6,1.1,0.7
236,train,False,Sphere,0.9,0.9,0.3
237,train,False,Side_Cylinder,0.7,1.2,0.7
238,train,False,Inverted_Cone,0.8,0.7,0.7
239,train,False,Inverted_Cone,1.3,0.6,0.4
240,train,False,Cone,0.4,1.1,0.1
241,train,False,Cube,1.1,0.8,0.7
242,train,False,Cube,1.4,1.3,0.9
243,train,False,Sphere,0.8,0.9,0.8
244,train,False,Torus,1.3,1.4,0.9
245,train,False,Cylinder,1.6,1.6,0.6
246,train,False,Torus,0.7,1.1,0.2
247,train,False,Cone,0.9,1.4,0.1
248,train,False,Sphere,1.2,0.6,0.7
249,train,False,Torus,0.7,1.6,0.3
250,train,False,Inverted_Cone,1.1,1.4,0.1
251,train,False,Cone,1.2,0.5,0.8
252,train,False,Cone,0.8,0.8,0.4
253,train,False,Inverted_Cone,0.6,1.1,0.3
254,train,False,Inverted_Cone,0.4,1.1,0.7
255,train,False,Cylinder,0.6,1.2,0.6
256,train,False,Inverted_Cone,0.6,1.1,0.7
257,train,False,Inverted_Cone,1.6,1.6,0.8
258,train,False,Side_Cylinder,0.6,1.2,0.9
259,train,False,Cylinder,0.9,1.2,0.8
260,train,False,Cylinder,1.3,0.5,0.4
261,train,False,Side_Cylinder,1.6,1.2,0.5
262,train,False,Torus,0.5,0.9,0.4
263,train,False,Side_Cylinder,1.0,1.6,0.4
264,train,False,Cube,1.2,0.7,0.9
265,train,False,Torus,1.0,1.1,0.5
266,train,False,Torus,0.6,1.0,0.4
267,train,False,Sphere,1.0,1.4,0.9
268,train,False,Cylinder,0.5,1.4,0.5
269,train,False,Side_Cylinder,1.0,0.5,0.8
270,train,False,Cylinder,0.9,0.8,0.5
271,train,False,Side_Cylinder,0.6,0.4,0.1
272,train,False,Sphere,1.2,1.2,0.2
273,train,False,Cylinder,1.6,0.9,0.8
274,train,False,Cube,1.0,1.1,0.5
275,train,False,Cone,1.0,0.7,0.4
276,train,False,Side_Cylinder,0.9,1.2,0.1
277,train,False,Side_Cylinder,1.3,0.7,0.2
278,train,False,Sphere,0.8,0.9,0.4
279,train,False,Side_Cylinder,0.5,1.1,0.5
280,train,False,Cylinder,1.3,0.8,0.3
281,train,False,Cube,0.7,1.6,0.9
282,train,False,Cylinder,0.6,1.3,0.4
283,train,False,Torus,1.3,0.7,0.4
284,train,False,Cylinder,0.5,1.2,0.5
285,train,False,Cube,1.2,1.6,0.7
286,train,False,Cube,0.8,0.5,0.1
287,train,False,Torus,1.1,1.2,0.8
288,train,False,Torus,1.2,1.6,0.7
289,train,False,Cylinder,0.5,1.4,0.4
290,train,False,Cube,0.8,1.2,0.1
291,train,False,Cube,0.6,1.4,0.5
292,train,False,Side_Cylinder,1.4,1.3,0.1
293,train,False,Cylinder,0.8,0.9,0.5
294,train,False,Cube,1.3,0.7,0.6
295,train,False,Torus,0.7,0.5,0.7
296,train,False,Cone,0.7,1.3,0.2
297,train,False,Inverted_Cone,1.2,0.7,0.8
298,train,False,Cone,1.1,0.7,0.5
299,train,False,Cube,0.8,1.3,0.8
300,train,False,Cube,1.6,0.4,0.4
301,train,False,Sphere,0.9,0.6,0.2
302,train,False,Cube,1.6,0.5,0.1
303,train,False,Cone,1.6,1.3,0.6
304,train,False,Cone,0.8,1.1,0.4
305,train,False,Sphere,1.0,0.9,0.2
306,train,False,Cone,1.2,1.3,0.4
307,train,False,Sphere,0.7,1.4,0.6
308,train,False,Side_Cylinder,1.1,1.3,0.8
309,train,False,Cone,0.5,1.4,0.4
310,train,False,Inverted_Cone,0.7,0.6,0.5
311,train,False,Torus,0.5,0.7,0.5
312,train,False,Side_Cylinder,1.3,1.4,0.5
313,train,False,Cube,0.7,1.4,0.4
314,train,False,Cone,0.9,0.9,0.9
315,train,False,Cone,1.1,0.8,0.2
316,train,False,Sphere,1.1,0.6,0.2
317,train,False,Sphere,1.6,1.3,0.9
318,train,False,Cylinder,1.1,1.3,0.8
319,train,False,Torus,0.4,0.8,0.4
320,train,False,Sphere,1.6,1.0,0.8
321,train,False,Cylinder,0.8,1.2,0.2
322,train,False,Sphere,0.8,1.2,0.9
323,train,False,Cylinder,0.7,1.0,0.9
324,train,False,Cylinder,1.4,0.7,0.9
325,train,False,Torus,0.4,0.9,0.4
326,train,False,Sphere,1.6,1.2,0.4
327,train,False,Torus,0.5,0.7,0.1
328,train,False,Inverted_Cone,0.9,0.9,0.1
329,train,False,Cylinder,1.6,1.2,0.3
330,train,False,Cylinder,0.8,1.6,0.4
331,train,False,Inverted_Cone,1.2,1.3,0.3
332,train,False,Side_Cylinder,1.0,1.0,0.6
333,train,False,Inverted_Cone,1.3,1.4,0.3
334,train,False,Torus,0.4,1.4,0.3
335,train,False,Torus,1.3,0.5,0.9
336,train,False,Sphere,1.6,1.1,0.3
337,train,False,Cone,0.6,1.6,0.1
338,train,False,Sphere,0.8,0.6,0.4
339,train,False,Side_Cylinder,1.3,0.6,0.1
340,train,False,Inverted_Cone,1.4,1.3,0.2
341,train,False,Torus,1.2,0.4,0.1
342,train,False,Sphere,1.6,1.0,0.9
343,train,False,Cube,0.4,1.1,0.4
344,train,False,Torus,0.8,0.4,0.3
345,train,False,Cylinder,1.4,0.4,0.5
346,train,False,Side_Cylinder,0.9,1.4,0.2
347,train,False,Sphere,0.6,1.6,0.7
348,train,False,Cube,1.2,1.3,0.6
349,train,False,Cylinder,1.0,1.0,0.3
350,train,False,Cube,0.7,0.5,0.4
351,train,False,Cylinder,1.4,1.6,0.3
352,train,False,Inverted_Cone,0.5,0.9,0.5
353,train,False,Cone,1.4,1.3,0.5
354,train,False,Cone,1.3,0.5,0.1
355,train,False,Cone,0.8,0.7,0.8
356,train,False,Cylinder,0.6,0.9,0.6
357,train,False,Sphere,0.6,1.3,0.8
358,train,False,Side_Cylinder,1.0,0.7,0.3
359,train,False,Inverted_Cone,0.8,1.4,0.2
360,train,False,Side_Cylinder,0.5,1.6,0.4
361,train,False,Cone,1.1,0.6,0.6
362,train,False,Cube,0.9,1.4,0.8
363,train,False,Cylinder,0.9,1.0,0.6
364,train,False,Cube,0.9,1.3,0.9
365,train,False,Torus,1.3,1.1,0.9
366,train,False,Cone,1.2,0.7,0.7
367,train,False,Sphere,0.4,0.7,0.6
368,train,False,Side_Cylinder,0.5,0.7,0.3
369,train,False,Torus,1.3,1.6,0.9
370,train,False,Side_Cylinder,1.1,0.9,0.1
371,train,False,Side_Cylinder,0.9,1.1,0.4
372,train,False,Cylinder,1.1,1.1,0.4
373,train,False,Cone,1.4,1.1,0.4
374,train,False,Side_Cylinder,1.0,0.5,0.4
375,train,False,Torus,1.4,1.1,0.5
376,train,False,Sphere,1.0,1.2,0.3
377,train,False,Torus,0.9,1.4,0.7
378,train,False,Cylinder,0.9,0.4,0.2
379,train,False,Sphere,0.7,1.1,0.2
380,train,False,Side_Cylinder,1.2,1.2,0.7
381,train,False,Cylinder,1.4,0.6,0.2
382,train,False,Cone,0.4,0.5,0.7
383,train,False,Inverted_Cone,0.8,0.6,0.6
384,train,False,Cone,1.0,0.4,0.7
385,train,False,Sphere,1.1,0.8,0.4
386,train,False,Torus,1.1,1.6,0.9
387,train,False,Side_Cylinder,1.4,0.4,0.2
388,train,False,Side_Cylinder,0.8,0.7,0.3
389,train,False,Side_Cylinder,1.0,0.9,0.8
390,train,False,Inverted_Cone,1.2,1.0,0.9
391,train,False,Inverted_Cone,1.3,0.9,0.7
392,train,False,Cylinder,0.5,0.4,0.8
393,train,False,Side_Cylinder,1.0,1.3,0.9
394,train,False,Sphere,0.8,1.0,0.9
395,train,False,Inverted_Cone,0.4,0.6,0.9
396,train,False,Cube,1.2,1.1,0.8
397,train,False,Inverted_Cone,1.1,0.8,0.9
398,train,False,Inverted_Cone,1.1,0.6,0.6
399,train,False,Sphere,0.9,1.6,0.7
400,train,False,Side_Cylinder,1.0,1.4,0.3
401,train,False,Inverted_Cone,1.1,0.8,0.8
402,train,False,Cube,0.9,1.3,0.8
403,train,False,Torus,0.9,1.0,0.3
404,train,False,Sphere,0.8,0.7,0.4
405,train,False,Torus,1.4,0.6,0.9
406,train,False,Cone,0.8,0.4,0.7
407,train,False,Torus,1.2,1.4,0.6
408,train,False,Cube,0.8,0.8,0.3
409,train,False,Torus,0.4,0.7,0.9
410,train,False,Cylinder,1.6,1.6,0.7
411,train,False,Cone,0.6,1.0,0.6
412,train,False,Sphere,0.9,1.4,0.8
413,train,False,Cylinder,0.7,1.2,0.3
414,train,False,Cube,1.3,0.8,0.1
415,train,False,Sphere,0.6,1.3,0.4
416,train,False,Sphere,1.3,1.1,0.2
417,train,False,Torus,0.8,0.5,0.3
418,train,False,Inverted_Cone,1.1,1.1,0.3
419,train,False,Cylinder,0.9,1.1,0.3
420,train,False,Sphere,0.5,0.5,0.3
421,train,False,Cylinder,1.3,1.3,0.7
422,train,False,Cube,1.2,0.7,0.6
423,train,False,Inverted_Cone,1.4,0.8,0.9
424,train,False,Cube,1.4,1.4,0.7
425,train,False,Side_Cylinder,0.6,1.3,0.8
426,train,False,Cylinder,1.3,0.5,0.7
427,train,False,Side_Cylinder,1.3,1.3,0.8
428,train,False,Inverted_Cone,0.8,0.5,0.2
429,train,False,Sphere,1.0,1.0,0.1
430,train,False,Torus,1.6,0.8,0.2
431,train,False,Side_Cylinder,0.4,1.4,0.5
432,train,False,Cylinder,1.0,0.8,0.2
433,train,False,Torus,0.9,1.4,0.6
434,train,False,Cone,1.0,0.7,0.6
435,train,False,Sphere,1.2,1.3,0.2
436,train,False,Inverted_Cone,1.2,0.4,0.2
437,train,False,Cube,1.2,1.2,0.6
438,train,False,Side_Cylinder,1.0,1.3,0.3
439,train,False,Torus,0.5,1.6,0.9
440,train,False,Side_Cylinder,0.8,1.2,0.2
441,train,False,Cube,1.0,0.7,0.8
442,train,False,Cylinder,0.4,0.9,0.6
443,train,False,Side_Cylinder,1.0,0.6,0.5
444,train,False,Cylinder,1.2,0.4,0.2
445,train,False,Sphere,1.3,1.1,0.6
446,train,False,Side_Cylinder,1.1,1.4,0.6
447,train,False,Sphere,0.4,0.4,0.8
448,train,False,Inverted_Cone,0.8,0.7,0.9
449,train,False,Cube,1.2,0.6,0.9
450,train,False,Inverted_Cone,0.7,1.3,0.8
451,train,False,Side_Cylinder,0.6,0.6,0.7
452,train,False,Sphere,1.3,1.4,0.3
453,train,False,Inverted_Cone,1.3,0.5,0.5
454,train,False,Sphere,0.9,0.8,0.2
455,train,False,Side_Cylinder,1.6,1.3,0.7
456,train,False,Inverted_Cone,1.1,1.3,0.5
457,train,False,Cylinder,1.4,0.8,0.2
458,train,False,Side_Cylinder,1.0,1.1,0.6
459,train,False,Side_Cylinder,0.8,1.0,0.5
460,train,False,Cone,0.7,1.3,0.3
461,train,False,Cube,1.0,0.5,0.4
462,train,False,Cube,0.8,1.3,0.7
463,train,False,Cone,1.1,1.1,0.1
464,train,False,Cylinder,1.3,0.7,0.3
465,train,False,Torus,1.6,1.4,0.9
466,train,False,Cube,1.1,0.9,0.8
467,train,False,Cone,1.3,0.9,0.9
468,train,False,Cone,0.9,1.2,0.4
469,train,False,Cylinder,1.4,0.4,0.9
470,train,False,Side_Cylinder,1.3,1.0,0.4
471,train,False,Cylinder,0.4,1.6,0.9
472,train,False,Cube,1.6,0.4,0.1
473,train,False,Torus,0.5,0.7,0.3
474,train,False,Cylinder,1.0,0.8,0.9
475,train,False,Side_Cylinder,1.4,1.0,0.1
476,train,False,Inverted_Cone,0.7,1.6,0.2
477,train,False,Sphere,0.6,1.4,0.5
478,train,False,Torus,1.0,1.4,0.4
479,train,False,Inverted_Cone,0.5,0.6,0.4
480,train,False,Side_Cylinder,0.4,0.8,0.2
481,train,False,Torus,1.6,0.9,0.6
482,train,False,Cone,0.7,1.4,0.3
483,train,False,Inverted_Cone,1.1,0.5,0.1
484,train,False,Cone,0.6,1.4,0.6
485,train,False,Sphere,1.2,1.3,0.6
486,train,False,Cylinder,0.9,1.4,0.3
487,train,False,Sphere,0.8,0.9,0.7
488,train,False,Cone,1.6,1.1,0.4
489,train,False,Cone,0.6,0.6,0.6
490,train,False,Cone,0.5,0.8,0.6
491,train,False,Inverted_Cone,1.6,1.4,0.4
492,train,False,Cone,1.6,1.6,0.4
493,train,False,Side_Cylinder,0.8,0.6,0.4
494,train,False,Sphere,0.4,0.5,0.7
495,train,False,Cone,1.6,0.7,0.8
496,train,False,Side_Cylinder,1.4,0.7,0.7
497,train,False,Cylinder,0.8,1.3,0.1
498,train,False,Sphere,0.8,1.0,0.1
499,train,False,Side_Cylinder,1.1,1.0,0.1
500,train,False,Cylinder,0.9,0.8,0.9
501,train,False,Torus,0.9,0.8,0.4
502,train,False,Torus,1.3,0.9,0.5
503,train,False,Inverted_Cone,0.5,1.0,0.2
504,train,False,Cube,0.5,1.3,0.2
505,train,False,Cylinder,0.4,0.5,0.7
506,train,False,Torus,0.6,1.4,0.9
507,train,False,Inverted_Cone,1.3,1.0,0.1
508,train,False,Torus,1.6,0.8,0.9
509,train,False,Sphere,0.6,0.5,0.2
510,train,False,Torus,1.0,1.2,0.4
511,train,False,Inverted_Cone,0.8,1.0,0.4
512,train,False,Cone,0.8,1.6,0.5
513,train,False,Cube,1.4,1.6,0.4
514,train,False,Cube,0.4,1.3,0.4
515,train,False,Cube,0.5,0.9,0.6
516,train,False,Cone,0.5,0.7,0.7
517,train,False,Cylinder,0.9,0.4,0.3
518,train,False,Inverted_Cone,1.2,0.4,0.7
519,train,False,Sphere,0.5,1.1,0.8
520,train,False,Sphere,1.1,1.6,0.6
521,train,False,Cube,0.4,0.8,0.9
522,train,False,Cube,0.6,1.1,0.6
523,train,False,Cylinder,0.4,1.1,0.2
524,train,False,Cone,1.2,1.3,0.9
525,train,False,Sphere,1.1,1.3,0.2
526,train,False,Cylinder,1.4,0.4,0.2
527,train,False,Sphere,0.8,0.8,0.1
528,train,False,Cylinder,1.6,0.8,0.5
529,train,False,Cube,1.1,0.5,0.1
530,train,False,Side_Cylinder,0.8,1.6,0.2
531,train,False,Cube,1.1,1.0,0.4
532,train,False,Sphere,1.0,1.2,0.6
533,train,False,Sphere,1.1,0.4,0.1
534,train,False,Side_Cylinder,1.4,0.9,0.2
535,train,False,Cube,1.0,0.9,0.1
536,train,False,Sphere,0.4,0.8,0.1
