trial_num,data_segment,violation,shape,container,obj_width,container_width,obj_height,container_height,rand_violation_choice
1,train,False,Side_Cylinder,mug,0.6,1.3,0.6,1.1,N.A.
2,train,False,Torus,box,1.0,1.1,1.0,0.5,N.A.
3,train,False,Side_Cylinder,box,0.4,0.7,0.6,1.3,N.A.
4,train,False,Cone,mug,0.4,1.5,1.2,1.3,N.A.
5,train,False,Cone,box,0.4,0.9,0.6,0.7,N.A.
6,train,False,Sphere,mug,0.4,0.7,1.2,1.3,N.A.
7,train,False,Cylinder,box,1.4,1.1,0.4,1.3,N.A.
8,train,False,Cube,box,0.8,0.9,1.2,1.1,N.A.
9,train,False,Inverted_Cone,mug,0.6,0.7,0.8,0.5,N.A.
10,train,False,Cylinder,box,1.0,1.5,1.2,0.9,N.A.
11,train,False,Side_Cylinder,mug,0.6,0.9,1.4,0.9,N.A.
12,train,False,Sphere,mug,1.4,1.3,0.8,1.3,N.A.
13,train,False,Sphere,box,0.4,1.3,1.2,1.3,N.A.
14,train,False,Sphere,box,1.0,0.9,0.8,1.1,N.A.
15,train,False,Side_Cylinder,mug,1.4,0.7,1.2,0.7,N.A.
16,train,False,Torus,box,1.2,1.3,0.4,0.5,N.A.
17,train,False,Sphere,box,1.4,1.1,1.2,0.9,N.A.
18,train,False,Inverted_Cone,mug,0.8,1.5,1.4,1.1,N.A.
19,train,False,Cube,box,1.0,0.7,1.4,0.7,N.A.
20,train,False,Cylinder,mug,0.6,1.5,0.6,1.1,N.A.
21,train,False,Sphere,box,1.0,0.7,1.0,0.7,N.A.
22,train,False,Cylinder,mug,1.2,0.9,1.0,0.9,N.A.
23,train,False,Side_Cylinder,mug,1.2,1.1,0.4,0.5,N.A.
24,train,False,Torus,mug,1.0,1.5,0.6,0.9,N.A.
25,train,False,Cube,box,1.2,1.5,1.0,0.5,N.A.
26,train,False,Cube,box,0.4,1.1,1.0,1.3,N.A.
27,train,False,Cone,mug,1.0,1.3,1.2,1.3,N.A.
28,train,False,Cylinder,mug,0.6,1.1,0.8,1.1,N.A.
29,train,False,Sphere,mug,0.6,1.1,0.8,0.9,N.A.
30,train,False,Sphere,box,1.4,1.3,0.4,1.1,N.A.
31,train,False,Cube,mug,1.4,1.1,0.8,1.3,N.A.
32,train,False,Side_Cylinder,mug,0.6,0.7,0.6,0.9,N.A.
33,train,False,Sphere,mug,1.2,0.7,1.4,1.3,N.A.
34,train,False,Side_Cylinder,mug,1.4,0.9,1.0,0.9,N.A.
35,train,False,Side_Cylinder,box,0.4,1.3,0.6,1.3,N.A.
36,train,False,Cube,box,1.4,0.9,1.4,1.1,N.A.
37,train,False,Torus,mug,1.2,0.7,1.2,0.5,N.A.
38,train,False,Side_Cylinder,mug,1.0,0.7,0.6,1.3,N.A.
39,train,False,Cylinder,mug,1.2,0.9,1.2,1.3,N.A.
40,train,False,Sphere,box,0.8,1.1,1.4,1.1,N.A.
41,train,False,Sphere,mug,0.4,0.9,0.4,0.9,N.A.
42,train,False,Cylinder,box,1.0,0.7,1.0,0.9,N.A.
43,train,False,Cube,mug,1.2,1.5,0.4,1.1,N.A.
44,train,False,Cylinder,box,0.4,0.7,0.4,0.9,N.A.
45,train,False,Sphere,box,0.6,0.7,0.6,0.7,N.A.
46,train,False,Cylinder,box,0.4,0.7,1.2,0.9,N.A.
47,train,False,Cube,mug,1.0,1.1,0.4,0.5,N.A.
48,train,False,Sphere,mug,0.4,0.7,1.4,1.1,N.A.
49,train,False,Cone,mug,1.4,1.3,0.6,0.7,N.A.
50,train,False,Cylinder,box,0.8,0.7,1.0,0.7,N.A.
51,train,False,Side_Cylinder,box,1.2,0.7,0.6,1.1,N.A.
52,train,False,Cone,box,0.4,1.3,0.8,1.3,N.A.
53,train,False,Cube,box,0.6,1.3,0.4,0.7,N.A.
54,train,False,Cylinder,box,0.6,1.5,0.8,0.7,N.A.
55,train,False,Cube,box,0.8,1.3,1.4,1.1,N.A.
56,train,False,Side_Cylinder,box,1.2,1.1,0.4,1.3,N.A.
57,train,False,Side_Cylinder,mug,1.2,0.7,0.6,0.7,N.A.
58,train,False,Sphere,box,0.8,0.7,0.4,0.7,N.A.
59,train,False,Cylinder,box,1.0,0.9,1.0,0.7,N.A.
60,train,False,Cone,mug,1.0,0.7,1.4,1.3,N.A.
61,train,False,Side_Cylinder,mug,1.2,0.9,0.4,1.3,N.A.
62,train,False,Sphere,box,0.6,1.3,0.4,1.3,N.A.
63,train,False,Torus,box,1.4,1.3,1.2,0.7,N.A.
64,train,False,Side_Cylinder,box,0.8,1.1,0.8,1.3,N.A.
65,train,False,Cone,mug,0.8,0.9,0.4,1.1,N.A.
