trial_num,data_segment,violation,left_shape,right_shape,left_height,right_height,left_speed,right_speed,rand_violation_choice
1,train,False,Cube,Side_Cylinder,1.0,0.5,2.0,2.0,N.A.
2,train,False,Side_Cylinder,Sphere,0.75,0.75,1.5,0.5,N.A.
3,train,False,Side_Cylinder,Sphere,0.75,0.75,1.5,1.0,N.A.
4,train,False,Side_Cylinder,Cube,0.75,1.0,1.0,1.0,N.A.
5,train,False,Inverted_Cone,Side_Cylinder,1.5,1.25,2.5,2.5,N.A.
6,train,False,Inverted_Cone,Sphere,1.0,1.0,2.5,1.5,N.A.
7,train,False,Sphere,Inverted_Cone,0.75,0.75,1.0,2.5,N.A.
8,train,False,Cube,Cone,0.75,1.25,1.0,1.0,N.A.
9,train,False,Cube,Side_Cylinder,1.25,1.25,0.5,1.0,N.A.
10,train,False,Cube,Cone,1.25,1.5,2.0,2.0,N.A.
11,train,False,Cone,Sphere,1.5,1.5,1.0,2.0,N.A.
12,train,False,Inverted_Cone,Inverted_Cone,1.0,0.75,0.5,0.5,N.A.
13,train,False,Sphere,Side_Cylinder,0.5,0.5,2.5,1.5,N.A.
14,train,False,Cube,Side_Cylinder,0.75,1.0,2.0,2.0,N.A.
15,train,False,Cube,Side_Cylinder,0.75,1.5,0.5,0.5,N.A.
16,train,False,Inverted_Cone,Cone,1.5,1.0,1.0,1.0,N.A.
17,train,False,Cube,Sphere,0.75,0.75,1.5,1.5,N.A.
18,train,False,Cone,Inverted_Cone,1.0,0.75,1.5,1.5,N.A.
19,train,False,Cylinder,Cone,1.0,1.0,1.0,2.0,N.A.
20,train,False,Cylinder,Inverted_Cone,1.25,1.25,2.5,0.5,N.A.
21,train,False,Sphere,Side_Cylinder,1.0,1.25,2.5,2.5,N.A.
22,train,False,Cube,Cylinder,0.75,0.75,1.0,2.5,N.A.
23,train,False,Cone,Side_Cylinder,1.0,1.25,0.5,0.5,N.A.
24,train,False,Cube,Cone,1.5,1.25,2.5,2.5,N.A.
25,train,False,Cube,Cube,1.0,1.0,1.0,0.5,N.A.
26,train,False,Sphere,Inverted_Cone,1.5,1.5,1.0,2.5,N.A.
27,train,False,Cone,Inverted_Cone,1.25,1.25,2.5,1.5,N.A.
28,train,False,Sphere,Cylinder,1.0,0.75,0.5,0.5,N.A.
29,train,False,Cube,Sphere,1.0,1.0,1.5,0.5,N.A.
30,train,False,Cone,Side_Cylinder,0.5,1.25,1.0,1.0,N.A.
31,train,False,Cylinder,Side_Cylinder,0.5,1.0,1.5,1.5,N.A.
32,train,False,Sphere,Cylinder,1.25,0.75,1.5,1.5,N.A.
33,train,False,Cone,Sphere,1.5,1.5,0.5,2.0,N.A.
34,train,False,Inverted_Cone,Cone,0.5,0.5,2.5,1.5,N.A.
35,train,False,Sphere,Sphere,0.5,0.5,0.5,2.5,N.A.
36,train,False,Inverted_Cone,Cylinder,1.5,1.5,1.5,1.5,N.A.
37,train,False,Side_Cylinder,Cylinder,1.25,1.25,2.5,2.5,N.A.
38,train,False,Cube,Side_Cylinder,1.0,1.0,2.5,2.0,N.A.
39,train,False,Sphere,Cone,1.25,0.5,2.0,2.0,N.A.
40,train,False,Side_Cylinder,Cone,1.5,1.5,0.5,2.5,N.A.
41,train,False,Cube,Sphere,0.5,0.5,1.0,1.5,N.A.
42,train,False,Sphere,Cylinder,0.5,1.5,1.5,1.5,N.A.
43,train,False,Cylinder,Cube,1.25,1.0,0.5,0.5,N.A.
44,train,False,Cylinder,Cylinder,1.0,1.0,2.0,2.5,N.A.
45,train,False,Cylinder,Sphere,0.5,1.5,2.0,2.0,N.A.
46,train,False,Inverted_Cone,Cylinder,1.5,1.5,1.5,1.0,N.A.
47,train,False,Side_Cylinder,Side_Cylinder,0.5,0.75,1.0,1.0,N.A.
48,train,False,Inverted_Cone,Inverted_Cone,0.5,0.5,1.0,2.5,N.A.
49,train,False,Cone,Side_Cylinder,1.25,1.0,1.0,1.0,N.A.
50,train,False,Inverted_Cone,Sphere,1.5,1.5,2.5,1.0,N.A.
51,train,False,Cube,Cube,0.5,1.0,1.0,1.0,N.A.
52,train,False,Side_Cylinder,Sphere,1.25,1.25,0.5,2.5,N.A.
53,train,False,Cylinder,Side_Cylinder,1.5,0.75,1.0,1.0,N.A.
54,train,False,Sphere,Side_Cylinder,1.25,1.25,1.5,2.0,N.A.
55,train,False,Side_Cylinder,Sphere,0.75,1.5,1.0,1.0,N.A.
56,train,False,Cylinder,Cone,1.0,1.25,2.5,2.5,N.A.
57,train,False,Side_Cylinder,Side_Cylinder,1.5,1.5,2.0,2.0,N.A.
58,train,False,Side_Cylinder,Sphere,0.75,1.5,2.5,2.5,N.A.
59,train,False,Inverted_Cone,Sphere,0.5,1.5,2.5,2.5,N.A.
60,train,False,Cylinder,Cylinder,1.5,1.5,0.5,1.0,N.A.
61,train,False,Inverted_Cone,Cone,1.25,0.75,0.5,0.5,N.A.
62,train,False,Side_Cylinder,Sphere,0.75,1.25,2.5,2.5,N.A.
63,train,False,Cone,Sphere,1.25,1.25,2.0,1.5,N.A.
64,train,False,Side_Cylinder,Cylinder,0.5,0.5,1.0,2.0,N.A.
65,train,False,Cone,Inverted_Cone,0.75,0.75,1.5,1.5,N.A.
66,train,False,Inverted_Cone,Cylinder,1.25,1.25,2.0,1.5,N.A.
67,train,False,Cone,Sphere,1.25,1.5,0.5,0.5,N.A.
68,train,False,Cylinder,Sphere,1.0,1.5,1.5,1.5,N.A.
69,train,False,Sphere,Inverted_Cone,1.0,0.5,0.5,0.5,N.A.
70,train,False,Sphere,Cube,0.5,0.5,1.5,2.0,N.A.
71,train,False,Cube,Inverted_Cone,1.5,0.5,0.5,0.5,N.A.
72,train,False,Inverted_Cone,Cone,1.0,1.0,2.5,2.5,N.A.
73,train,False,Cube,Sphere,0.5,0.5,1.5,0.5,N.A.
74,train,False,Cube,Cone,1.0,1.0,0.5,2.0,N.A.
75,train,False,Side_Cylinder,Cone,1.25,1.25,1.0,0.5,N.A.
76,train,False,Cylinder,Inverted_Cone,1.25,0.5,1.0,1.0,N.A.
77,train,False,Side_Cylinder,Cube,1.5,1.5,1.0,2.5,N.A.
78,train,False,Cone,Inverted_Cone,1.0,0.5,0.5,0.5,N.A.
79,train,False,Side_Cylinder,Cylinder,1.5,0.75,2.0,2.0,N.A.
80,train,False,Sphere,Side_Cylinder,0.5,1.5,1.5,1.5,N.A.
81,train,False,Cone,Sphere,1.0,1.0,1.5,1.5,N.A.
82,train,False,Cone,Inverted_Cone,1.0,1.0,1.0,1.0,N.A.
83,train,False,Sphere,Cube,0.75,1.5,1.5,1.5,N.A.
84,train,False,Inverted_Cone,Sphere,1.5,1.5,1.5,0.5,N.A.
85,train,False,Cone,Cylinder,0.75,1.0,2.5,2.5,N.A.
86,train,False,Inverted_Cone,Cylinder,1.0,0.75,2.5,2.5,N.A.
87,train,False,Cylinder,Sphere,1.0,1.5,2.0,2.0,N.A.
88,train,False,Inverted_Cone,Inverted_Cone,1.0,1.0,2.0,1.5,N.A.
89,train,False,Inverted_Cone,Cone,0.5,1.5,2.0,2.0,N.A.
90,train,False,Inverted_Cone,Side_Cylinder,1.0,1.5,2.5,2.5,N.A.
91,train,False,Inverted_Cone,Cube,0.5,0.75,1.0,1.0,N.A.
92,train,False,Inverted_Cone,Cube,1.0,1.25,2.5,2.5,N.A.
93,train,False,Sphere,Inverted_Cone,1.25,1.25,2.0,1.5,N.A.
94,train,False,Sphere,Cone,1.5,1.5,2.0,1.5,N.A.
95,train,False,Cylinder,Inverted_Cone,0.75,0.75,2.0,2.5,N.A.
96,train,False,Cylinder,Cone,0.5,0.5,1.0,1.5,N.A.
97,train,False,Inverted_Cone,Cone,0.5,0.75,1.5,1.5,N.A.
98,train,False,Cube,Sphere,0.5,0.5,1.0,1.0,N.A.
99,train,False,Cone,Cube,1.25,1.25,0.5,2.0,N.A.
100,train,False,Cone,Side_Cylinder,1.0,1.0,1.5,2.0,N.A.
101,train,False,Cylinder,Cube,0.75,0.75,1.5,0.5,N.A.
102,train,False,Cone,Sphere,1.0,1.25,1.0,1.0,N.A.
103,train,False,Cylinder,Cube,1.25,1.25,2.0,0.5,N.A.
104,train,False,Inverted_Cone,Side_Cylinder,1.0,1.0,2.0,1.0,N.A.
105,train,False,Inverted_Cone,Cone,1.25,1.25,0.5,0.5,N.A.
106,train,False,Inverted_Cone,Sphere,0.5,0.5,2.5,2.5,N.A.
107,train,False,Cylinder,Side_Cylinder,1.0,0.5,1.0,1.0,N.A.
108,train,False,Sphere,Cylinder,1.0,1.0,1.5,1.5,N.A.
109,train,False,Cylinder,Cone,1.25,1.25,1.5,1.0,N.A.
110,train,False,Inverted_Cone,Sphere,1.25,0.75,0.5,0.5,N.A.
111,train,False,Inverted_Cone,Cone,1.0,1.0,2.0,1.5,N.A.
112,train,False,Cube,Inverted_Cone,0.75,1.5,0.5,0.5,N.A.
113,train,False,Sphere,Inverted_Cone,1.5,1.0,2.0,2.0,N.A.
114,train,False,Cube,Side_Cylinder,0.75,0.5,2.0,2.0,N.A.
115,train,False,Cube,Side_Cylinder,1.5,1.25,2.0,2.0,N.A.
116,train,False,Sphere,Sphere,1.0,1.0,2.0,1.0,N.A.
117,train,False,Cube,Side_Cylinder,1.5,1.5,1.5,2.5,N.A.
118,train,False,Inverted_Cone,Side_Cylinder,0.75,0.5,2.5,2.5,N.A.
119,train,False,Cube,Side_Cylinder,1.5,1.5,2.0,1.0,N.A.
120,train,False,Cylinder,Inverted_Cone,0.5,0.5,1.0,0.5,N.A.
121,train,False,Cylinder,Inverted_Cone,1.5,1.25,0.5,0.5,N.A.
122,train,False,Inverted_Cone,Cone,0.5,1.25,1.5,1.5,N.A.
123,train,False,Cube,Cone,1.0,1.0,0.5,0.5,N.A.
124,train,False,Cylinder,Side_Cylinder,1.25,0.5,2.0,2.0,N.A.
125,train,False,Cylinder,Cube,1.5,1.5,2.0,2.5,N.A.
126,train,False,Inverted_Cone,Cylinder,1.25,0.75,2.5,2.5,N.A.
127,train,False,Inverted_Cone,Sphere,1.25,1.25,0.5,2.5,N.A.
128,train,False,Side_Cylinder,Cone,0.5,1.25,1.0,1.0,N.A.
129,train,False,Side_Cylinder,Cone,0.75,0.75,0.5,2.0,N.A.
130,train,False,Cylinder,Cube,1.25,1.25,2.5,0.5,N.A.
131,train,False,Side_Cylinder,Cone,1.5,0.5,2.0,2.0,N.A.
132,train,False,Cone,Sphere,0.5,1.25,1.0,1.0,N.A.
133,train,False,Sphere,Cube,1.5,1.5,1.5,2.5,N.A.
134,train,False,Cube,Cube,0.5,0.5,1.0,2.0,N.A.
135,train,False,Side_Cylinder,Inverted_Cone,1.0,0.5,2.5,2.5,N.A.
136,train,False,Cube,Cylinder,0.5,0.5,1.5,1.5,N.A.
137,train,False,Cylinder,Inverted_Cone,1.0,1.0,1.5,2.5,N.A.
138,train,False,Cube,Inverted_Cone,1.25,0.75,2.0,2.0,N.A.
139,train,False,Cylinder,Cone,0.5,0.75,1.0,1.0,N.A.
140,train,False,Cylinder,Cube,1.25,1.25,1.5,2.0,N.A.
