trial_num,data_segment,violation,shape,wall_type,obj_width,obj_height,opening_width,opening_height
1,train,False,Torus,Normal,1.3,1.1,0.0,0.0
2,train,False,Cube,Open,1.3,1.0,1.4,0.9
3,train,False,Torus,Soft,1.2,0.5,0.0,0.0
4,train,False,Torus,Open,0.7,0.6,1.2,1.1
5,train,False,Inverted_Cone,Open,1.0,0.8,1.2,1.7
6,train,False,Cylinder,Normal,1.4,0.9,0.0,0.0
7,train,False,Cylinder,Open,0.5,1.3,1.5,1.7
8,train,False,Torus,Open,1.1,1.4,0.8,1.4
9,train,False,Cone,Soft,0.6,0.5,0.0,0.0
10,train,False,Torus,Open,1.5,1.2,0.9,1.5
11,train,False,Inverted_Cone,Open,1.1,0.4,1.6,1.5
12,train,False,Cone,Open,1.2,1.3,1.0,1.0
13,train,False,Inverted_Cone,Soft,0.7,0.7,0.0,0.0
14,train,False,Cube,Soft,0.8,1.1,0.0,0.0
15,train,False,Cylinder,Normal,0.7,0.9,0.0,0.0
16,train,False,Cylinder,Open,0.5,0.5,1.6,1.5
17,train,False,Torus,Open,1.5,1.1,1.1,1.3
18,train,False,Cylinder,Open,0.4,0.4,0.8,1.2
19,train,False,Cylinder,Open,1.0,0.5,0.6,1.8
20,train,False,Cylinder,Open,1.5,0.7,1.2,0.6
21,train,False,Side_Cylinder,Open,0.5,0.5,1.1,1.0
22,train,False,Torus,Normal,1.6,0.4,0.0,0.0
23,train,False,Inverted_Cone,Open,1.2,0.4,1.3,1.3
24,train,False,Inverted_Cone,Open,1.6,1.3,1.4,1.4
25,train,False,Side_Cylinder,Soft,1.6,1.0,0.0,0.0
26,train,False,Cylinder,Open,0.6,0.6,1.0,1.2
27,train,False,Cylinder,Soft,1.2,1.4,0.0,0.0
28,train,False,Side_Cylinder,Open,1.5,0.4,1.5,1.2
29,train,False,Cone,Normal,1.1,0.7,0.0,0.0
30,train,False,Torus,Open,1.4,0.5,1.4,1.2
31,train,False,Cylinder,Soft,0.8,0.9,0.0,0.0
32,train,False,Cone,Open,1.3,0.6,1.1,1.3
33,train,False,Cube,Open,0.9,0.4,1.6,0.6
34,train,False,Torus,Open,1.3,1.3,0.9,1.6
35,train,False,Sphere,Normal,0.5,0.4,0.0,0.0
36,train,False,Inverted_Cone,Open,1.1,1.4,0.7,0.6
37,train,False,Cone,Open,0.8,1.0,0.6,1.6
38,train,False,Cylinder,Open,1.0,0.7,1.4,1.7
39,train,False,Side_Cylinder,Open,0.6,1.0,0.8,0.6
40,train,False,Side_Cylinder,Open,0.6,0.5,1.2,0.6
41,train,False,Torus,Open,0.8,1.4,1.0,1.7
42,train,False,Side_Cylinder,Open,0.9,0.9,1.1,0.8
43,train,False,Cylinder,Open,1.3,0.9,1.1,0.7
44,train,False,Torus,Open,0.5,0.8,1.6,1.6
45,train,False,Cone,Soft,1.0,0.6,0.0,0.0
46,train,False,Cube,Normal,1.1,0.6,0.0,0.0
47,train,False,Cube,Soft,0.6,1.3,0.0,0.0
48,train,False,Cube,Normal,1.5,1.0,0.0,0.0
49,train,False,Cone,Soft,0.6,1.3,0.0,0.0
50,train,False,Torus,Normal,0.7,0.4,0.0,0.0
